500
1677
4
3	102	7	17	13	14
3	116	7	17	12	14
3	73	8	17	13	-100
122	99	6	17	13	15
122	125	5	17	12	14
122	115	6	17	12	15
122	86	6	17	12	15
122	80	6	17	15	-100
122	52	6	17	13	14
122	83	6	17	13	-100
122	48	6	17	12	15
17	23	6	17	13	14
17	12	6	17	12	14
66	18	7	17	12	14
66	90	7	17	13	-100
66	110	7	17	13	15
66	51	7	17	13	15
26	97	7	17	13	14
26	90	8	17	12	-100
45	94	6	17	13	15
45	150	6	17	13	15
45	93	7	17	12	-100
109	96	7	17	13	-100
109	138	7	17	14	-100
109	117	7	17	13	14
109	114	7	17	14	-100
109	49	7	17	13	15
102	136	7	17	13	15
102	44	7	17	14	-100
102	112	7	17	12	15
102	140	7	17	13	15
102	116	7	17	13	14
102	139	7	17	14	-100
102	32	7	17	13	-100
102	25	7	17	13	14
102	141	7	17	13	14
102	61	7	17	12	14
102	146	7	17	14	-100
99	18	7	17	13	14
99	83	7	17	12	-100
136	3	8	17	13	14
136	112	7	17	12	15
136	140	7	17	13	14
136	139	7	17	15	-100
136	141	7	17	15	-100
136	39	7	17	14	-100
136	73	7	17	14	-100
136	146	7	17	13	14
85	100	6	17	13	14
85	87	6	17	12	14
85	7	6	17	13	15
85	149	5	17	13	-100
85	127	6	17	13	14
85	29	7	17	13	15
85	124	6	17	12	-100
85	143	5	17	13	14
120	26	6	17	12	15
120	34	7	17	13	-100
120	128	6	17	14	-100
120	72	6	17	15	-100
120	150	6	17	12	15
120	145	7	17	12	14
125	17	6	17	12	15
125	99	6	17	13	14
125	53	7	17	13	-100
125	63	7	17	13	14
125	23	5	17	12	14
125	62	7	17	14	-100
125	89	7	17	12	-100
125	65	6	17	12	14
125	67	6	17	12	15
125	86	7	17	13	15
125	24	6	17	12	15
125	51	7	17	12	-100
44	112	7	17	14	-100
44	121	7	17	13	14
44	140	7	17	12	15
44	116	7	17	15	-100
44	70	7	17	12	15
44	79	7	17	12	-100
44	146	7	17	12	15
112	82	7	17	12	15
133	69	7	17	13	15
121	134	7	17	14	-100
121	94	7	17	12	-100
121	60	7	17	12	14
121	31	7	17	13	-100
121	128	7	17	14	-100
121	41	7	17	13	14
121	10	7	17	15	-100
121	50	7	17	12	-100
121	113	7	17	12	-100
76	45	7	17	13	14
76	134	7	17	12	15
76	36	7	17	12	-100
76	105	7	17	12	-100
76	111	7	17	14	-100
27	26	6	17	14	-100
27	100	6	17	12	15
27	40	5	17	13	14
27	75	6	17	13	15
27	62	6	17	15	-100
27	65	6	17	13	-100
27	97	7	17	14	-100
27	149	5	17	13	14
27	123	7	17	14	-100
27	41	6	17	15	-100
27	127	6	17	13	15
27	143	5	17	13	14
27	108	7	17	12	15
134	45	7	17	12	14
134	111	7	17	15	-100
46	96	6	17	12	14
46	114	6	17	12	-100
46	93	7	17	12	14
46	49	7	17	12	-100
53	27	6	17	12	14
53	5	6	17	12	-100
53	16	6	17	12	-100
53	90	6	17	13	15
38	109	8	17	12	14
38	130	7	17	12	-100
38	81	7	17	14	-100
38	104	7	17	13	14
