1	66
1	198
1	248
1	254
1	309
1	350
1	404
1	415
1	432
1	442
1	511
1	532
1	544
1	556
1	597
1	749
1	797
1	813
1	848
1	892
1	925
8	1
8	77
8	309
8	466
8	612
8	661
8	679
8	929
8	938
9	17
9	80
9	103
9	179
9	222
9	301
9	351
9	451
9	554
9	580
9	588
9	609
9	646
9	687
9	702
9	704
9	797
9	819
9	895
9	962
9	974
10	762
10	784
10	882
10	883
10	920
10	941
10	982
11	71
11	130
11	137
11	297
11	308
11	501
11	550
11	835
13	36
13	328
13	452
17	50
17	54
17	55
17	192
17	231
17	260
17	282
17	326
17	377
17	469
17	491
17	537
17	628
17	654
17	659
17	693
17	699
17	863
17	925
19	39
19	41
19	42
19	137
19	270
19	630
19	740
19	848
19	907
19	959
20	385
20	456
20	459
20	581
20	748
20	797
20	852
20	951
20	958
21	309
21	404
23	376
23	461
23	931
25	9
25	203
25	248
25	401
25	415
25	461
25	486
25	989
26	20
26	126
26	176
26	214
26	271
26	404
26	414
26	532
26	570
26	637
26	647
26	755
26	786
26	861
26	949
29	449
29	568
29	597
29	784
29	918
33	52
33	152
33	239
33	338
33	414
33	480
33	517
33	532
33	580
33	607
33	646
33	687
33	729
33	768
33	920
33	931
33	967
36	58
36	122
36	534
36	564
36	798
36	809
36	943
38	179
38	623
38	797
38	814
38	916
39	38
39	516
41	673
41	818
42	137
42	162
42	179
42	189
42	223
42	498
42	570
42	580
42	687
44	337
44	418
44	621
44	830
44	890
44	917
44	981
45	41
45	211
45	390
45	634
45	853
50	9
50	66
50	103
50	131
50	174
50	260
50	269
50	278
50	308
50	345
50	365
50	376
50	418
50	654
50	658
50	759
52	13
52	118
52	126
52	305
52	573
52	683
52	696
52	703
52	727
52	745
52	815
53	17
53	184
53	187
53	698
53	863
54	76
54	110
54	146
54	211
54	404
54	469
54	588
54	623
54	729
54	766
54	935
55	302
55	625
55	853
56	326
56	455
56	850
58	9
58	50
58	157
58	186
58	282
58	439
58	469
58	491
58	517
58	665
58	916
58	931
58	974
59	137
59	184
59	683
59	695
59	755
60	178
60	320
60	528
63	77
63	121
63	221
63	448
63	544
63	625
63	631
63	665
63	746
63	820
63	841
63	882
63	892
63	908
63	929
63	965
64	641
64	757
65	217
65	430
65	498
66	137
66	207
66	209
66	300
66	414
66	476
66	637
67	66
67	80
67	90
67	192
67	195
67	284
67	305
67	357
67	376
67	461
67	548
67	550
67	605
67	636
67	646
67	654
67	674
67	797
67	869
67	893
67	950
71	147
71	269
71	272
71	384
71	782
71	982
73	36
73	126
73	281
73	321
73	357
73	376
73	414
73	421
73	436
73	528
73	532
73	603
73	699
73	727
73	737
73	803
73	882
74	282
74	350
74	390
74	430
74	566
74	608
74	656
76	77
76	106
76	214
76	221
76	265
76	355
76	357
76	364
76	498
76	508
76	548
76	594
76	634
76	654
76	839
76	848
76	908
76	917
76	931
77	17
77	194
77	197
77	301
77	350
77	410
77	415
77	548
77	554
77	577
77	699
77	820
77	891
77	917
77	967
77	978
80	365
80	377
80	417
80	476
80	480
80	704
80	765
80	767
80	896
80	944
83	246
83	275
83	430
83	526
83	777
86	494
86	614
86	666
86	768
87	44
87	306
87	451
87	595
87	643
87	878
87	931
90	80
90	198
90	350
90	436
90	618
90	658
90	666
90	786
90	980
95	10
95	33
95	205
95	209
95	217
95	258
95	369
95	401
95	443
95	554
95	564
95	749
95	814
95	882
95	893
95	968
99	112
99	181
99	369
99	511
103	265
103	637
106	147
106	254
106	288
106	337
106	421
106	532
106	614
106	659
106	831
107	254
107	377
107	844
107	953
110	33
110	44
110	306
110	635
111	63
111	147
111	162
111	179
111	186
111	246
111	365
111	392
111	554
111	602
111	693
111	766
111	784
111	813
111	895
111	918
111	923
111	925
112	382
112	751
112	819
112	830
118	67
118	365
118	457
118	491
118	526
118	528
118	573
118	587
118	660
118	784
118	792
118	840
118	886
118	900
118	910
118	959
121	1
